Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2021-07-05,15:34:57,148.08,28.08,14852923.9,2.9230079996235815e-05
2021-07-05,15:34:57,148.71,28.08,14852923.86,2.9230226954133007e-05
2021-07-05,15:34:58,149.52,28.08,14852923.82,2.9230887499548454e-05
2021-07-05,15:34:59,150.14,28.08,14852923.78,2.9231983375603334e-05
2021-07-05,15:34:59,150.76,28.08,14852923.74,2.92335082435732e-05
2021-07-05,15:35:00,151.36,28.08,14852923.7,2.9235026030353875e-05
2021-07-05,15:35:01,152.19,28.08,14852923.66,2.923591410902572e-05
2021-07-05,15:35:01,152.81,28.08,14852923.63,2.9237538046372174e-05
2021-07-05,15:35:02,153.43,28.08,14852923.58,2.923975844380591e-05
2021-07-05,15:35:02,154.05,28.08,14852923.56,2.9240191419288333e-05
2021-07-05,15:35:03,154.67,28.08,14852923.54,2.9241533968387064e-05
2021-07-05,15:35:04,155.47,28.08,14852923.52,2.9243150428198985e-05
2021-07-05,15:35:05,156.09,28.08,14852923.5,2.9244667101276075e-05
2021-07-05,15:35:05,156.73,28.08,14852923.48,2.9244706107631346e-05
2021-07-05,15:35:06,157.37,28.08,14852923.46,2.92456947826953e-05
2021-07-05,15:35:06,157.98,28.08,14852923.44,2.9246080986423972e-05
2021-07-05,15:35:07,158.8,28.08,14852923.39,2.9248097834921864e-05
2021-07-05,15:35:08,159.43,28.08,14852923.36,2.9248927430887565e-05
2021-07-05,15:35:08,160.04,28.08,14852923.33,2.925049094636238e-05
2021-07-05,15:35:09,160.67,28.08,14852923.32,2.9251394886936364e-05
2021-07-05,15:35:10,161.31,28.08,14852923.27,2.9253102807454708e-05
2021-07-05,15:35:11,162.13,28.09,14852923.25,2.9254049364053557e-05
2021-07-05,15:35:11,162.76,28.08,14852923.24,2.9255221431325306e-05
2021-07-05,15:35:12,163.39,28.08,14852923.19,2.925681648371433e-05
2021-07-05,15:35:12,164.0,28.09,14852923.16,2.925811401491127e-05
2021-07-05,15:35:13,164.63,28.09,14852923.09,2.9260398647902386e-05
2021-07-05,15:35:14,165.46,28.09,14852923.06,2.9261343143616145e-05
2021-07-05,15:35:15,166.08,28.09,14852923.03,2.926352725881966e-05
2021-07-05,15:35:15,166.69,28.09,14852922.97,2.9264862132657144e-05
2021-07-05,15:35:16,167.33,28.09,14852922.93,2.9265517016452452e-05
2021-07-05,15:35:16,167.96,28.09,14852922.9,2.9267725733514597e-05
2021-07-05,15:35:17,168.61,28.09,14852922.86,2.9269123433039215e-05
2021-07-05,15:35:18,169.42,28.09,14852922.82,2.926967329810905e-05
2021-07-05,15:35:18,170.03,28.09,14852922.79,2.927186913045277e-05
2021-07-05,15:35:19,170.65,28.09,14852922.74,2.9272610585353576e-05
2021-07-05,15:35:20,171.27,28.09,14852922.73,2.927366881937391e-05
2021-07-05,15:35:21,172.09,28.09,14852922.7,2.9275611282954434e-05
2021-07-05,15:35:21,172.71,28.1,14852922.67,2.9275220572544113e-05
2021-07-05,15:35:22,173.33,28.1,14852922.63,2.927764545473876e-05
2021-07-05,15:35:22,173.95,28.1,14852922.61,2.9278138087867675e-05
2021-07-05,15:35:23,174.59,28.1,14852922.57,2.9280460146799266e-05
2021-07-05,15:35:24,175.39,28.1,14852922.54,2.9282154365968923e-05
2021-07-05,15:35:24,175.99,28.1,14852922.52,2.928238824688943e-05
2021-07-05,15:35:25,176.6,28.1,14852922.45,2.9284056088705576e-05
2021-07-05,15:35:26,177.25,28.1,14852922.42,2.928575413759869e-05
2021-07-05,15:35:26,178.03,28.1,14852922.4,2.928474875138059e-05
2021-07-05,15:35:27,178.64,28.1,14852922.36,2.9285944337055156e-05
2021-07-05,15:35:28,179.27,28.1,14852922.31,2.928698415756156e-05
2021-07-05,15:35:28,179.9,28.1,14852922.3,2.9288304925052054e-05
2021-07-05,15:35:29,180.74,28.1,14852922.28,2.9288231801218348e-05
2021-07-05,15:35:30,181.37,28.1,14852922.21,2.9288382288062356e-05
2021-07-05,15:35:30,181.98,28.1,14852922.17,2.9289180798524688e-05
2021-07-05,15:35:31,182.58,28.1,14852922.14,2.92900572267402e-05
2021-07-05,15:35:32,183.41,28.1,14852922.1,2.9291027224583436e-05
2021-07-05,15:35:32,184.02,28.1,14852922.07,2.929100833916728e-05
2021-07-05,15:35:33,184.65,28.1,14852922.03,2.929133809715847e-05
2021-07-05,15:35:34,185.26,28.1,14852922.0,2.9292854323926097e-05
2021-07-05,15:35:34,185.88,28.1,14852921.96,2.9293524871228175e-05
2021-07-05,15:35:35,186.7,28.1,14852921.92,2.929436312912037e-05
2021-07-05,15:35:36,187.32,28.1,14852921.85,2.9296007522418393e-05
2021-07-05,15:35:36,187.95,28.1,14852921.81,2.9297285483111253e-05
2021-07-05,15:35:37,188.57,28.1,14852921.78,2.9297807505381048e-05
2021-07-05,15:35:38,189.21,28.1,14852921.74,2.9297784924560293e-05
2021-07-05,15:35:38,190.02,28.1,14852921.7,2.9298994005482514e-05
2021-07-05,15:35:39,190.63,28.1,14852921.64,2.9300335871950468e-05
2021-07-05,15:35:40,191.25,28.1,14852921.59,2.9300392468736154e-05
2021-07-05,15:35:40,191.88,28.1,14852921.59,2.9301762767523686e-05
2021-07-05,15:35:41,192.52,28.1,14852921.56,2.930297393793239e-05
2021-07-05,15:35:42,193.32,28.1,14852921.53,2.9304771855100043e-05
2021-07-05,15:35:42,193.94,28.1,14852921.49,2.930625404961794e-05
2021-07-05,15:35:43,194.55,28.1,14852921.46,2.9306566591652932e-05
2021-07-05,15:35:44,195.18,28.1,14852921.43,2.9308674740420784e-05
2021-07-05,15:35:44,196.0,28.1,14852921.35,2.9310523169250084e-05
2021-07-05,15:35:45,196.62,28.1,14852921.33,2.9310531294105243e-05
2021-07-05,15:35:46,197.25,28.1,14852921.29,2.9311604741195354e-05
2021-07-05,15:35:46,197.88,28.1,14852921.27,2.9311422550440148e-05
2021-07-05,15:35:47,198.51,28.1,14852921.27,2.9311605022798762e-05
2021-07-05,15:35:48,199.33,28.1,14852921.25,2.93119360665194e-05
2021-07-05,15:35:48,199.95,28.1,14852921.24,2.9311871268588632e-05
2021-07-05,15:35:49,200.57,28.1,14852921.19,2.9312765666875134e-05
2021-07-05,15:35:50,201.2,28.1,14852921.16,2.931293554756008e-05
2021-07-05,15:35:50,201.82,28.1,14852921.12,2.9312658429080477e-05
2021-07-05,15:35:51,202.63,28.1,14852921.08,2.9313623977246417e-05
2021-07-05,15:35:52,203.25,28.1,14852921.04,2.931310417361456e-05
2021-07-05,15:35:52,203.86,28.1,14852921.0,2.931393951336215e-05
2021-07-05,15:35:53,204.49,28.1,14852920.96,2.931525582271451e-05
2021-07-05,15:35:54,205.14,28.11,14852920.92,2.931526042670727e-05
2021-07-05,15:35:54,205.95,28.11,14852920.88,2.9316699895520803e-05
2021-07-05,15:35:55,206.58,28.11,14852920.84,2.9316134440293545e-05
2021-07-05,15:35:56,207.2,28.11,14852920.78,2.9316418922720727e-05
2021-07-05,15:35:56,207.81,28.11,14852920.74,2.93173131901067e-05
2021-07-05,15:35:57,208.47,28.11,14852920.73,2.931786043725743e-05
2021-07-05,15:35:58,209.29,28.11,14852920.68,2.931795998140352e-05
2021-07-05,15:35:58,209.91,28.11,14852920.64,2.93180359722674e-05
2021-07-05,15:35:59,210.54,28.11,14852920.62,2.931793002471267e-05
2021-07-05,15:36:00,211.17,28.11,14852920.59,2.931930062407595e-05
2021-07-05,15:36:00,211.8,28.11,14852920.56,2.93189707989874e-05
