Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()
12749.49104	0.102372637	0.019555286	-0.14435396	0.11290074	-0.364967097	8.31E-09	-3.97E-08	-8.25E-09	3.60E-08	8.74E-08
12750.29307	0.046325923	0.045472711	-8.35E-04	-0.111029552	-0.277559212	3.39E-09	-5.98E-08	-4.20E-08	-4.95E-08	8.42E-08
12751.0951	0.070965371	-0.026409154	-0.013249512	-0.035015471	-0.201689884	-4.72E-08	-9.50E-08	-8.90E-09	-9.92E-09	-1.60E-08
12751.89706	0.090890566	3.41E-04	0.050982064	0.085831184	-0.271816985	-1.85E-08	-3.93E-08	-1.00E-08	-1.17E-07	-7.50E-09
12752.69912	0.052114979	-0.097782094	0.037297053	-0.256159796	-0.332413545	-2.84E-08	-3.00E-08	-4.47E-08	-1.26E-07	7.58E-08
12753.50117	0.014098475	0.003403921	0.017455358	-0.156299531	-0.280746133	-2.45E-08	-8.23E-09	-9.23E-09	-9.22E-08	6.93E-08
12754.30312	0.036594169	-0.085274606	0.002599652	-0.106826641	0.053472297	2.09E-09	-4.65E-08	-2.67E-09	-8.92E-08	-2.75E-09
12755.10513	0.079093007	0.006137394	0.033883297	0.02310501	-0.283535428	-1.76E-08	-9.48E-08	-3.87E-08	-1.39E-07	9.04E-09
12755.90716	0.083251178	0.002687564	0.016806528	-0.054959858	-0.280095161	1.63E-09	-1.17E-07	1.44E-08	-4.09E-08	1.38E-07
12756.70917	0.040108545	-0.047482712	0.070644053	-0.031995005	-0.308630196	-3.40E-08	-5.89E-08	-2.86E-08	-4.71E-08	4.86E-08
12757.51119	0.033170092	-0.053516399	0.035407771	0.01957712	-0.231052659	3.86E-09	-6.18E-08	-3.36E-08	-8.79E-08	5.26E-08
12758.31321	0.077749646	-0.16789037	-0.071734742	0.024556097	0.105102335	-1.89E-08	-3.62E-08	-4.02E-09	-5.14E-08	-1.04E-08
12759.11519	0.039185623	-0.104208864	-0.014979873	-0.016599086	-0.302118188	-1.09E-08	-6.02E-08	-6.55E-08	-7.33E-08	8.67E-08
12759.9172	0.021115655	-0.058230992	0.078447209	0.066739634	-0.121261255	-3.74E-08	-5.66E-08	-3.51E-08	-7.87E-08	5.83E-08
12760.71915	0.101070272	-0.117862535	0.120921895	-0.101455486	-0.408313784	-8.71E-09	-1.21E-07	-4.23E-08	-5.35E-08	-1.05E-08
12761.52127	0.132922559	-0.056705682	-0.124240216	-0.075689576	-0.318768321	-3.04E-09	-7.94E-08	2.61E-09	-8.80E-08	7.11E-09
12762.32323	0.021886551	-0.068175001	0.055648774	0.013951336	-0.159915056	6.41E-10	-3.49E-08	-1.85E-08	-6.29E-08	-4.30E-08
12763.12527	0.135137248	-0.008549865	-0.163487125	-0.034166831	-0.264810899	-6.68E-09	-2.78E-08	-1.51E-08	-1.95E-07	1.15E-08
12763.92734	0.045718113	-4.75E-04	0.095778602	-0.123478111	-0.230588115	1.12E-09	-1.14E-08	-6.74E-08	-1.67E-08	8.48E-08
12764.72929	0.215041127	0.017399394	-0.09238421	0.088270947	-0.231371682	9.17E-09	-5.76E-08	-2.66E-08	-6.08E-08	3.24E-08
12765.53134	0.109933602	-0.032370862	-0.041762414	-0.049874562	-0.018548374	-7.18E-09	-2.08E-08	-2.32E-08	-1.62E-07	1.50E-07
12766.33336	0.097237707	-0.018464797	-0.033016766	-0.032642478	-0.278919054	4.79E-09	-8.51E-08	7.44E-09	-1.05E-07	1.54E-07
12767.13532	0.044075683	-0.013437055	0.077449244	-0.001106309	-0.087023224	-3.87E-08	-3.41E-08	-2.89E-08	-8.12E-08	6.68E-08
12767.93738	0.081820163	0.05857589	0.041610474	-0.009082326	-0.029196483	-2.48E-09	-8.95E-08	1.75E-08	2.07E-08	-4.05E-08
12768.73942	0.086920994	0.045594615	-0.052935724	-0.00993831	-0.285778309	-2.47E-08	-3.34E-08	1.39E-08	-2.55E-07	4.07E-08
12769.54147	0.06816245	0.050970773	0.072888802	-0.105072259	-0.10766601	-1.64E-08	-3.16E-08	-5.51E-08	-9.83E-08	1.69E-09
12770.34354	0.057228837	-0.055571485	3.08E-04	-0.046761592	-0.243606106	-6.10E-09	-4.75E-08	-3.61E-08	-3.70E-08	-1.96E-08
12771.14552	0.007903779	0.055703812	-0.020388549	0.164451015	-0.142756591	9.07E-09	-4.54E-08	8.65E-09	-6.82E-08	7.16E-08
12771.94754	0.059200043	-0.050455884	0.066575166	0.097015835	-0.125815476	1.67E-08	-9.90E-08	-3.41E-08	-1.10E-07	4.73E-08
12772.74955	0.067680914	0.080534209	-0.089113719	-0.091562856	-0.278519276	-2.62E-08	-7.93E-09	-1.47E-08	-8.82E-08	5.36E-08
12773.55159	0.10160149	-0.005953343	-0.041940941	0.131022524	-0.092817863	-8.50E-09	-5.99E-08	-3.57E-08	-9.16E-08	5.22E-08
12774.35364	0.035349726	0.041734413	-1.19E-04	0.099808813	-0.061094886	-2.38E-08	-5.76E-08	-8.10E-08	-7.07E-08	-5.20E-08
12775.15562	0.129072217	0.006792479	0.091140999	0.054053351	-0.251768976	-2.53E-08	-3.86E-08	-8.70E-08	2.32E-08	1.37E-07
12775.95768	0.067295646	-0.028893133	-0.058842896	-0.114425103	-0.086569271	-2.75E-08	-5.34E-08	-1.70E-08	-8.07E-08	5.70E-08
12776.75975	0.124012701	-0.021355256	-0.03728935	-0.072696674	-0.393060509	-1.54E-09	-6.29E-08	-1.50E-08	-1.23E-07	-1.98E-10
12777.56175	0.091838942	0.085589002	-0.053194306	0.065458602	-0.124067328	-3.59E-08	-4.08E-08	1.27E-08	-7.04E-08	3.05E-08
12778.36376	0.017178856	-0.070061789	0.084592793	0.034585528	-0.054322619	-1.09E-08	-8.97E-08	-5.18E-10	-8.59E-08	1.29E-07
12779.16575	0.043957233	-9.31E-04	0.146951206	-0.073240686	-0.253544071	-1.93E-08	-3.65E-08	4.50E-09	-1.10E-07	5.82E-08
12779.96777	0.070463775	-0.136371709	0.037450209	-0.111422238	-0.103000513	-2.81E-08	-6.74E-08	-3.64E-08	-7.74E-08	7.84E-08
12780.76983	-0.031683537	-0.056908091	-0.010039746	0.15172317	-0.174750989	-3.51E-08	-4.86E-08	-2.83E-08	-7.79E-08	1.30E-07
12781.57181	0.065555622	-0.016327231	-0.049934312	-0.036350193	-0.021778216	-1.34E-08	-7.03E-08	-7.65E-08	-6.95E-08	9.88E-08
12782.3739	0.058626837	0.090459086	-0.026762592	0.007960939	-0.111327163	-2.97E-08	-7.51E-08	-4.96E-08	-2.52E-08	5.12E-08
12783.17597	0.073629603	0.100877553	0.042383862	0.045195434	-0.171853448	-8.75E-09	-1.54E-08	-4.61E-09	-3.76E-08	7.31E-08
12783.97803	0.097543184	0.007036548	-0.071037396	-0.093375939	-0.001762758	-1.20E-08	-6.55E-08	-4.10E-08	-9.86E-08	8.62E-08
12784.78006	0.097543184	0.039203595	-0.080386608	0.08030217	-0.085595667	-1.20E-08	-4.40E-08	-4.18E-08	-5.94E-08	-1.42E-08
12785.58211	0.045561304	0.064665982	-0.126700662	0.140210225	-0.122825383	1.90E-08	-6.88E-08	-5.20E-08	-5.75E-08	1.35E-08
12786.38415	0.074649469	0.102053121	-0.072858525	0.201991955	-0.22434771	-2.16E-08	-5.87E-08	2.77E-08	-5.51E-08	1.02E-07
12787.18618	0.076054065	-0.071353042	0.012967514	-0.108673283	-0.014914926	-3.64E-08	-1.24E-07	-4.21E-08	-6.37E-08	-6.20E-08
12787.98825	0.031061385	-0.09259508	0.062720589	-0.10047602	0.117950145	-3.02E-08	-5.78E-08	-6.31E-08	-1.90E-08	6.43E-08
12788.79029	0.005292591	0.09992536	0.091671231	-0.074914434	-0.176157773	-1.27E-08	-2.38E-08	-3.98E-08	-9.98E-08	1.89E-07
12789.59228	0.022682348	0.011391201	0.118727362	0.025991187	0.076269971	-1.74E-08	-1.66E-08	-1.71E-08	-6.00E-08	4.94E-08
12790.39439	0.069750304	-0.113622918	0.081364618	-0.025343702	-0.353895804	3.60E-08	-1.00E-07	-4.09E-08	-2.78E-08	-2.49E-09
12791.19647	0.035558005	-0.041751944	0.009115294	0.033667272	-0.373328702	-1.42E-08	-5.07E-08	-3.11E-08	-2.02E-08	-8.15E-08
12791.99857	0.086762448	0.03398177	-0.054765948	0.02801424	-0.321897506	1.57E-08	-3.43E-08	-2.87E-08	-8.06E-08	9.64E-08
12792.80063	0.070866425	-0.163200302	-0.004157649	-0.006451882	-0.089730149	-6.31E-09	-2.51E-08	-1.79E-08	-9.06E-08	6.04E-08
