Time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis,11th_freq,11th_dis,13th_freq,13th_dis,Temp
3446.6231366,4960856.64722192,0.0001880151334742,14865959.2580792,0.0001008105629958,24773358.5350261,8.00708395172159e-05,34679411.3452836,6.89675586897284e-05,44586203.2572613,6.34744144122834e-05,54492803.2020339,5.93553658146104e-05,64399997.8682653,5.75549767493138e-05,24.9936676025391
3451.6704242,4960856.29589785,0.0001880811893562,14865962.4611219,0.0001007613872528,24773364.180367,7.9910674538873e-05,34679413.5455713,6.90007729449107e-05,44586197.0690012,6.38135805479163e-05,54492787.5672232,5.94587003367238e-05,64399986.1665676,5.71227566310072e-05,24.9998722076416
3456.7146903,4960857.21146681,0.0001880463620957,14865962.1405095,0.0001007428040135,24773358.8439396,8.00348453811504e-05,34679403.3225316,6.90274105903564e-05,44586189.1244649,6.36928368234996e-05,54492795.2657376,5.94917024809217e-05,64399995.5684399,5.73579980246892e-05,25.0085487365723
3461.761856,4960855.96090726,0.0001880002303166,14865957.1403297,0.0001008797710186,24773356.1920583,8.00952801630913e-05,34679408.4390916,6.90168872632426e-05,44586198.2880793,6.36220038069013e-05,54492796.7170255,5.9305991765354e-05,64399984.8166049,5.72886811507138e-05,24.9953689575195
3466.8085652,4960856.3741213,0.0001881225088821,14865962.0736776,0.0001007544545018,24773362.9581943,7.98765137325417e-05,34679411.7685962,6.89507808621562e-05,44586194.0334399,6.37803123924399e-05,54492784.7881373,5.94284242485287e-05,64399979.0763107,5.75134579079417e-05,24.9992027282715
3471.8548085,4960857.43176017,0.0001880482579287,14865962.1355915,0.0001006780622051,24773358.4496089,7.99121954334564e-05,34679403.9689774,6.90705657574083e-05,44586194.2296689,6.37275809062408e-05,54492796.18474,5.9315033896837e-05,64399997.1394469,5.72754027678596e-05,25.0025863647461
3476.9106966,4960856.72147882,0.0001880420331081,14865959.771503,0.0001008222499242,24773360.7284645,7.9961160262574e-05,34679414.8599428,6.89167731766937e-05,44586202.7331256,6.358053811656e-05,54492799.0337378,5.93205659134138e-05,64399990.8234225,5.72129126672943e-05,24.9899597167969
3481.9424504,4960857.85500662,0.000188093308482,14865965.7659595,0.0001006265098664,24773367.8051869,7.97660284682828e-05,34679416.3996302,6.88355806200802e-05,44586198.1601376,6.37277839506575e-05,54492792.3102639,5.93739079420275e-05,64399997.1119615,5.73302106667919e-05,24.9997959136963
3486.979491,4960859.87318232,0.0001880047309063,14865973.3208794,0.000100513684326,24773383.7785422,7.95779543075451e-05,34679444.5715882,6.85528048151032e-05,44586243.7965255,6.30730063019044e-05,54492853.1825548,5.88776328431717e-05,64400063.9010448,5.67412629691626e-05,25.0062942504883
3492.0283763,4960865.60168913,0.0001876332749811,14865987.7900966,0.0001001795992214,24773403.3398425,7.93250061499669e-05,34679465.9612404,6.82333275562524e-05,44586265.3471027,6.29588217240971e-05,54492877.2930811,5.8797080196975e-05,64400088.2634022,5.6894832816466e-05,24.9874534606934
