Time,fundamental_dis,fundamental_freq,3rd_dis,3rd_freq,5th_dis,5th_freq,7th_dis,7th_freq,9th_dis,9th_freq,11th_dis,11th_freq,13th_dis,13th_freq,Temp
747.9315311,0.0002615550569964,5001559.99622629,6.49928797250153e-06,14991215.2183305,1.78935453922295e-05,24981122.083438,2.84255049097389e-05,34967863.547567,4.3736025504348e-05,44963412.4823056,2.19557070143268e-05,54956100.1736359,3.29964376335063e-05,64945995.2170553,25.0124912261963
752.9915282,0.0002616386338559,5001560.0239001,6.50104423565841e-06,14991215.1596382,1.7896837203529e-05,24981122.1534525,2.843987772933e-05,34967863.1707302,4.37896269194573e-05,44963413.4564418,2.19381405350444e-05,54956100.6673876,3.29081016868954e-05,64945996.469626,24.9991779327393
758.0420437,0.0002616087702325,5001560.08310399,6.50042857994755e-06,14991215.2205028,1.78737289674844e-05,24981122.1698636,2.84413596922411e-05,34967863.1850053,4.38088916752489e-05,44963412.0277044,2.19539102996052e-05,54956101.7552446,3.29576975590248e-05,64945997.9906435,25.0099143981934
763.1020363,0.0002615831646861,5001560.09516017,6.49955231821155e-06,14991215.2431135,1.78796206790983e-05,24981122.3482847,2.84288165489871e-05,34967862.7983594,4.37514686460426e-05,44963412.4973399,2.19345490634927e-05,54956102.9570212,3.29419316698265e-05,64945999.1768906,24.9939785003662
772.1994262,0.0002616088205881,5001560.32523646,6.49686641965174e-06,14991215.2835601,1.78445401477183e-05,24981121.6386145,2.84242948134445e-05,34967862.6609614,4.38123034973466e-05,44963413.1813785,2.19594972881708e-05,54956103.5151106,3.29003520378295e-05,64946001.0785199,24.9845504760742
777.256925,0.0002615882093921,5001560.38325136,6.49717169956016e-06,14991215.410484,1.78536831534008e-05,24981121.9854324,2.84210712322673e-05,34967862.8538866,4.37834576313154e-05,44963412.2689413,2.19514635213802e-05,54956103.6900126,3.29059419918122e-05,64946000.9028682,25.0068702697754
782.3069298,0.0002616203443575,5001560.46697061,6.49780029250315e-06,14991215.4041821,1.78664896661962e-05,24981121.9573949,2.84186454598865e-05,34967863.0486484,4.37519781581459e-05,44963413.495724,2.19549883536621e-05,54956102.6340063,3.294843958072e-05,64945997.8787169,24.9940147399902
787.3669193,0.000261595495437,5001560.42620046,6.4965202743283e-06,14991215.2737878,1.7857067140531e-05,24981121.9756477,2.84121858026132e-05,34967863.4804476,4.37489913455778e-05,44963412.1565697,2.19531028205055e-05,54956100.2073651,3.28919714435119e-05,64945995.6533865,25.0141372680664
792.5169183,0.0002685525935264,5001532.27965232,8.69847773023851e-06,14991162.5106746,2.05341633118658e-05,24981023.7013459,2.8602815595657e-05,34967796.5786576,5.13895316439537e-05,44963070.9194914,7.38171060656641e-05,54955267.7009314,9.63317686602503e-05,64945811.6958854,25.0001392364502
797.7741352,0.0004611921799041,5000936.03450102,1.6058280473556e-06,14990907.5865522,,,,,,,,,0.0001997863743753,64942788.503551,24.9896755218506
804.4451048,0.0005988301132198,5000737.04893852,,,0.0001768915304227,24980297.5058332,0.0001627294663493,34969685.6055245,0.0001627670708849,44959962.1522023,0.0001841206943986,54950353.8177812,,64941998.0991583,24.9999694824219
810.2951002,0.0005982176886546,5000777.05120972,,,0.0001681709722158,24980483.1599714,0.0001530790999434,34969836.0122912,0.0001590945326092,44960109.0672541,0.0001832200314414,54950733.7406465,,64942285.3833926,24.9917221069336
815.3351068,0.0005970139137269,5000798.50506773,,,0.0001642881942488,24980575.9333364,0.0001482647774984,34969951.9089435,0.0001536104876001,44960207.8420936,0.0001786709587883,54950837.087247,,64942408.9600945,24.9841346740723
820.3950929,0.0005958630242605,5000813.84375961,,,0.0001620342153385,24980639.378154,0.0001457431361636,34970029.0493683,0.0001496857503475,44960277.4489618,,,,64942615.5236249,25.0140342712402
825.4450901,0.000595471668559,5000824.18065873,,,0.0001602230476663,24980686.7036973,0.0001436095377977,34970091.7248387,0.0001469997795789,44960333.9382921,0.0001761033786069,54951017.4412745,,64942709.651302,25.0101184844971
830.5050856,0.0005947679940547,5000832.75784219,,,0.0001590127880959,24980726.6221286,0.0001418454295713,34970144.1237189,0.000144788415873,44960389.8664576,0.0001753922900223,54951076.9683969,,64942836.6928218,25.0085868835449
835.5650837,0.0005943260888,5000839.62772871,,,0.0001580018664164,24980759.5714253,0.0001405550921343,34970189.6355116,0.0001430161504214,44960437.4470566,,,,64942881.0729242,25.0005397796631
840.6150807,0.0005938714650969,5000846.0182525,,,0.0001572192177775,24980787.0958281,0.0001395496605377,34970225.5958202,0.0001413827243849,44960475.6133535,,,,64942953.5060642,25.0046195983887
845.6650761,0.0005935033741079,5000851.07983728,,,0.0001563868105558,24980810.9681619,0.0001385297775145,34970260.4865301,0.0001399414413552,44960513.2934708,,,,64943038.307516,24.9966297149658
850.7150726,0.0005934040719002,5000855.37984924,,,0.0001556916115036,24980832.4448185,0.0001377085618375,34970290.2542083,0.0001388532832114,44960545.7678649,,,,64943079.7862317,24.9867458343506
855.7750699,0.000593289564415,5000859.69523327,,,0.00015497013643,24980851.6282317,0.0001370534006563,34970315.7766108,0.0001374841634365,44960582.064548,,,,64943114.4269303,25.0009155273438
860.8250661,0.000593022874414,5000863.48405039,,,0.0001545034486305,24980868.6064613,0.0001363137873906,34970340.246133,0.0001365348491549,44960609.6263765,,,,64943154.4216676,24.9943962097168
865.8750635,0.0005924401601908,5000866.45538138,,,0.0001538345762264,24980884.6913675,0.0001356473486503,34970361.2408865,0.0001355365728941,44960635.4661644,,,,64943174.7908936,24.9943408966064
870.9250602,0.0005925608761934,5000869.87574369,,,0.0001534732432814,24980898.0737053,0.0001350994726414,34970381.3990597,0.0001345186581698,44960661.0877793,,,,64943212.1204956,24.9930686950684
875.9750584,0.0005925129826123,5000873.1456944,,,0.0001530217115463,24980911.503979,0.000134409020265,34970398.7395511,0.0001336508382562,44960681.9623117,,,,64943246.4772713,25.0011863708496
881.025053,0.0005925048999509,5000876.22530189,,,0.0001526705505445,24980923.1853844,0.0001341212624375,34970413.4259753,0.00013299066257,44960700.4058964,,,,64943292.8492129,24.989315032959
886.0750514,0.0005929650907572,5000878.26620398,,,0.0001522907618456,24980934.3570694,0.0001335547342072,34970432.70754,0.0001327256137158,44960718.2397932,,,,64943289.0666413,25.0081176757813
891.1350471,0.000593306870866,5000879.75728556,,,0.0001519088744888,24980944.3341368,0.000133379458479,34970445.1216902,0.0001317780153459,44960740.777017,,,,64943339.7617918,24.9990501403809
896.1950448,0.0005932204814057,5000881.84270186,,,0.0001516490690062,24980953.3194546,0.0001327608591827,34970456.7747625,0.0001312785323388,44960754.1695245,,,,64943322.2022844,25.0084171295166
901.2450397,0.0005931384455971,5000883.25700526,,,0.0001514205567625,24980961.5641046,0.0001323650339325,34970466.223359,0.0001308770222403,44960772.3674514,,,,64943351.2504457,24.9991092681885
906.2950368,0.0005928027948909,5000884.1984055,,,0.0001511763619111,24980969.8377671,0.0001321709326774,34970480.8920517,0.0001305861376001,44960788.6022639,,,,64943351.1178986,25.0091724395752
911.3450326,0.000592940944522,5000885.76345777,,,0.0001509239314659,24980975.7220184,0.0001316807454642,34970490.9876674,0.0001302586540528,44960796.9312279,,,,64943391.4038501,24.9962730407715
916.3950306,0.0005927493293653,5000887.39480282,,,0.0001507265923466,24980982.70043,0.0001315772193572,34970500.4981532,0.0001294202512757,44960809.9302363,,,,64943379.1687932,24.9909038543701
921.4450273,0.0005924106880297,5000888.40137816,,,0.0001504971213887,24980987.9563464,0.0001312879971034,34970507.4275409,0.000129103833049,44960822.2604131,,,,64943382.5779362,25.0090560913086
926.4850237,0.0005924689291278,5000889.43903816,,,0.0001502845383684,24980993.5832983,0.0001311275424067,34970517.6488556,0.0001287370187677,44960833.7308501,,,,64943404.4359466,25.0049171447754
931.5350198,0.0005922797180779,5000890.59925457,,,0.0001501375009388,24980998.8942761,0.0001308433476081,34970524.2317479,0.0001285229240138,44960843.7363312,,,,64943407.268109,24.9927005767822
936.5950168,0.000592317373957,5000891.40083665,,,0.0001498438322022,24981003.5840306,0.0001305837701366,34970531.03604,0.0001281401005417,44960849.6214037,,,,64943408.9065894,25.0058670043945
941.6450133,0.0005921887355755,5000892.73279337,,,0.0001497415772562,24981005.9840675,0.0001305073548465,34970536.5016898,0.0001279016150159,44960861.340412,,,,64943417.3198185,24.9872932434082
948.6450086,0.00059224281486,5000894.11995194,,,0.00014953199094,24981011.5115183,0.0001302224341448,34970546.3141314,0.000127501954784,44960874.0108401,,,,64943416.0158355,24.9993305206299
953.6850086,0.0005921275852562,5000894.77430802,,,0.0001492957434687,24981014.8298172,0.0001302456032812,34970549.6997276,0.0001271507808117,44960879.3432373,,,,64943418.2780644,25.00559425354
958.7450021,0.0005920216472713,5000895.45275984,,,0.0001491713633881,24981018.4380972,0.0001298092561958,34970555.5825574,0.0001267465335488,44960888.6658597,,,,64943421.3316852,24.9935207366943
963.8050016,0.0005920495163718,5000895.98015658,,,0.0001489483040929,24981021.5679576,0.0001297241821326,34970561.3134017,0.0001266634913026,44960893.827822,,,,64943409.2321381,25.0033531188965
969.1549959,0.0005921475613584,5000897.0136601,,,0.0001488256009772,24981024.4177547,0.0001296380310332,34970567.8432167,0.0001264815256934,44960905.9815575,,,,64943419.47403,25.0058631896973
974.2149926,0.0005919084512088,5000897.54473261,,,0.0001487384589584,24981026.8839047,0.0001295812898854,34970569.3861816,0.0001260747544608,44960907.1648277,,,,64943411.3303121,24.990119934082
979.2649892,0.000592073627247,5000898.47563381,,,0.0001485650663399,24981030.0430335,0.0001293867278577,34970576.0525459,0.0001259274519903,44960914.388103,,,,64943412.6740675,24.9905090332031
984.3249857,0.0005918944889896,5000898.93087842,,,0.0001483176085472,24981032.8669725,0.0001293815680966,34970578.1661126,0.0001256958908503,44960921.0494983,,,,64943423.6032074,24.9976768493652
989.4549824,0.0005921425036668,5000899.08613284,,,0.0001482326997457,24981034.7740294,0.0001291665926461,34970581.3330083,0.0001258242220542,44960927.8135451,,,,64943420.9122353,25.0080623626709
994.5049794,0.0005921121646136,5000900.02379224,,,0.000148029359233,24981037.3393737,0.0001291390152031,34970584.9924243,0.0001255596165096,44960931.3771404,,,,64943423.1819297,24.9962959289551
999.5649758,0.0005919893756003,5000900.03441063,,,0.0001480148590218,24981037.9465164,0.0001291554282164,34970584.6121545,0.0001253638161753,44960935.0876056,,,,64943420.1429085,24.9750900268555
1004.615026,0.0005920061937414,5000900.9873721,,,0.0001478256488176,24981040.863206,0.0001288527399523,34970591.820203,0.0001252286209541,44960941.2110369,,,,64943406.6650847,25.002628326416
1009.6749708,0.0005917928545018,5000901.30824806,,,0.000147731606173,24981042.3256283,0.0001289258194911,34970592.4674382,0.0001252054278581,44960945.1456867,,,,64943408.8935079,25.0072593688965
1014.7249683,0.000591765804519,5000901.49937099,,,0.0001476622156533,24981045.2364229,0.0001287374891021,34970594.6661722,0.0001246406376205,44960943.3792636,,,,64943396.6758811,25.0149707794189
1020.1549623,0.0005918455100254,5000902.10744597,,,0.0001475804874093,24981046.9572753,0.0001287425278006,34970598.5780471,0.0001244529461477,44960948.7327286,,,,64943406.3656049,24.9907093048096
1025.2049593,0.0005915122888181,5000902.6167708,,,0.0001474114246856,24981048.4047436,0.0001287230246955,34970603.4636901,0.0001245454106084,44960960.5408787,,,,64943401.5131535,24.9999752044678
1030.2449632,0.0005917252473774,5000902.51971704,,,0.0001473165424419,24981049.2765713,0.0001283827089267,34970601.6427561,0.0001245235792861,44960958.5317656,,,,64943410.6836924,24.998779296875
1035.3049888,0.0005916015924782,5000903.011318,,,0.0001472600253968,24981051.0708021,0.0001286141240617,34970604.3558271,0.0001242866015146,44960961.4959638,,,,64943410.3835357,24.9995174407959
1040.3649519,0.0005913435861309,5000903.63664841,,,0.0001472500543933,24981051.6853003,0.000128527553721,34970606.0546788,0.0001242390427859,44960964.7606808,,,,64943388.9910237,25.0123729705811
1045.4149455,0.0005914373577136,5000903.6744723,,,0.0001470917936722,24981053.2726125,0.0001281819001494,34970609.7635568,0.0001241849859332,44960967.2746825,,,,64943405.6789119,25.0030937194824
1050.4749427,0.0005913603637062,5000903.90122167,,,0.0001470340454064,24981054.0391721,0.0001282945739492,34970611.5966035,0.0001240212170774,44960971.0783162,,,,64943405.242868,25.0106563568115
1055.5249402,0.0005913988075152,5000904.71085121,,,0.0001469259083114,24981055.306552,0.0001281585298445,34970610.6256741,0.0001238627293191,44960975.2671302,,,,64943393.7562559,24.986083984375
1060.5849376,0.000591432806613,5000904.77365398,,,0.0001468950609411,24981056.7103007,0.00012814099869,34970612.963741,0.0001239046017126,44960975.5337523,,,,64943394.4068795,24.9988803863525
1065.6349326,0.000591456500446,5000905.1661517,,,0.0001468593324453,24981057.5327069,0.0001280383613969,34970612.9738007,0.0001237723854485,44960976.2313524,,,,64943407.821613,25.0082092285156
1070.6949299,0.0005915985582653,5000905.07538688,,,0.0001467562769068,24981059.207452,0.0001282026016687,34970614.4181869,0.0001236850291507,44960982.2122149,,,,64943404.8297804,24.9918365478516
1075.7449267,0.0005915024146041,5000905.71476923,,,0.0001465305431878,24981060.157249,0.000128105633129,34970616.2568421,0.0001234618258326,44960983.1439652,,,,64943402.282793,24.9991359710693
1080.7949226,0.0005916666432476,5000905.66921647,,,0.0001465675521287,24981060.7329672,0.0001280015209428,34970617.9286057,0.0001233553748799,44960986.0627449,,,,64943401.1021942,25.0023994445801
1085.8449217,0.00059143396986,5000905.9774113,,,0.0001464977365194,24981061.2467134,0.0001278598380941,34970616.1757951,0.0001232906746124,44960987.2045596,,,,64943387.8595357,25.0022296905518
1090.9049168,0.0005913605564726,5000906.09665302,,,0.0001464170014155,24981061.9612274,0.000127851756676,34970618.9106285,0.0001233243106805,44960992.4837399,,,,64943404.7159023,24.9915428161621
1095.9549152,0.0005913151399861,5000905.97341217,,,0.0001463556268475,24981063.230453,0.0001277490860204,34970618.6163374,0.0001234132516,44960992.0796203,,,,64943368.8513695,25.0049705505371
1101.0049204,0.0005913417511931,5000906.81668321,,,0.0001462791165395,24981063.7473533,0.0001278130424366,34970620.2133726,0.0001231607574013,44960994.224038,,,,64943403.1787844,25.0058517456055
1106.0649067,0.000591392937365,5000906.69455409,,,0.0001461819856602,24981065.3779407,0.0001277263771179,34970621.0191107,0.0001231664987735,44960992.817296,,,,64943375.357698,25.0034923553467
1111.1149031,0.0005910940055445,5000906.91831046,,,0.0001460948117271,24981066.2216138,0.0001276168087727,34970622.4347231,0.0001229646172705,44960997.6670898,,,,64943374.5894937,24.9970970153809
1116.1548993,0.0005913205772986,5000906.67772327,,,0.0001461302038891,24981066.81849,0.0001277162519055,34970622.762323,0.0001229579311707,44960995.8343846,,,,64943380.4552186,25.0057144165039
1121.1949576,0.0005912749500126,5000907.48069883,,,0.0001459537689112,24981066.8765114,0.0001275499521208,34970622.9793976,0.0001230310298436,44960998.7594607,,,,64943380.2947218,24.994701385498
1126.2451429,0.0005912769586197,5000907.53782274,,,0.0001460129072973,24981066.7827371,0.0001274560309127,34970623.044555,0.0001227764105639,44960999.3413327,,,,64943373.8292904,24.9979782104492
1131.2948906,0.0005914533767244,5000907.73156234,,,0.0001458793067413,24981068.0793006,0.0001274537718798,34970625.2362304,0.0001228817536411,44961001.9064829,,,,64943387.1847934,24.9928493499756
1136.3548865,0.0005912310916152,5000907.60328704,,,0.0001458673073309,24981068.7284523,0.0001274027482956,34970623.4492322,0.0001227577484879,44961003.6115073,,,,64943385.7504854,24.996711730957
1141.4048906,0.0005911649453731,5000907.89326904,,,0.0001457888161123,24981069.7819431,0.0001272316745313,34970625.2423582,0.0001225869370733,44961004.2862936,,,,64943379.1176546,24.9946804046631
1146.4648826,0.0005912295460565,5000908.12649846,,,0.0001457137657197,24981069.5028973,0.0001272269464751,34970624.5676063,0.00012260821905,44961004.5685045,,,,64943387.5738387,24.9968643188477
1151.5148765,0.0005914464555851,5000908.40989477,,,0.0001456472679838,24981070.2457264,0.0001272514536292,34970624.7211378,0.0001225578134131,44961004.8046167,,,,64943370.0893736,24.9905529022217
1156.5648769,0.0005914654495094,5000908.43358914,,,0.0001456677898079,24981071.1897395,0.000127284110625,34970627.2958063,0.0001224050433307,44961008.8648353,,,,64943382.879569,25.0023994445801
1161.6048706,0.000591177702212,5000908.30052204,,,0.0001454930664564,24981070.9675064,0.0001271791648774,34970627.4005562,0.0001224113020826,44961007.9033769,,,,64943374.6155413,24.9979057312012
1166.9248666,0.000591429060147,5000908.45913926,,,0.000145506529567,24981071.7070006,0.0001271831870356,34970628.0812165,0.0001222345017588,44961008.6081159,,,,64943350.6729786,25.0061378479004
1171.9748633,0.0005912060860556,5000908.89241511,,,0.0001454882470427,24981071.4869788,0.0001272232494198,34970629.6583436,0.0001222623168881,44961007.8925239,,,,64943336.929834,25.0120754241943
1177.0348634,0.000591271730493,5000908.92199288,,,0.0001454864153266,24981072.158633,0.0001270265200886,34970629.4445691,0.0001223616390836,44961009.6284742,,,,64943331.1916991,25.0130405426025
1182.0848572,0.0005914346160349,5000909.009227,,,0.0001453914978685,24981071.8304396,0.0001270719038239,34970627.8104713,0.0001223283407486,44961011.9142444,,,,64943329.6940993,24.9976768493652
1187.144853,0.0005913609183112,5000909.46124704,,,0.0001453130971917,24981073.2515972,0.0001267902155202,34970630.1474058,0.0001223641688385,44961013.605182,,,,64943338.3304148,24.9871864318848
1192.1948502,0.0005913796143647,5000909.08928661,,,0.0001453062351437,24981073.080717,0.0001269578564269,34970627.8412894,0.0001221409161294,44961015.9170375,,,,64943335.4623186,25.0026531219482
1197.2448541,0.0005911458027149,5000908.99865749,,,0.0001453176518741,24981073.7035665,0.0001267586994726,34970630.5163933,0.000122210988051,44961013.8245503,,,,64943346.9149836,24.9999828338623
1202.294844,0.0005913266212921,5000909.3385143,,,0.0001453044187975,24981073.9353295,0.0001269109434299,34970630.5408338,0.000121845781593,44961018.1469392,,,,64943337.2525103,25.0004787445068
1207.334848,0.0005911248613377,5000909.58299023,,,0.0001452225839437,24981074.2139246,0.0001267536598915,34970632.408796,0.0001221061267408,44961018.710968,,,,64943335.150951,25.0151901245117
1212.3948402,0.0005912003448008,5000909.35520078,,,0.0001451821101907,24981075.1571671,0.0001270541231931,34970631.1925238,0.000122171858516,44961017.197389,,,,64943318.1703828,25.0076770782471
1217.4548358,0.0005912151558066,5000909.27218352,,,0.0001452163089144,24981075.3117387,0.0001268872816307,34970632.8408719,0.0001220502556409,44961020.9000525,,,,64943368.35208,24.9950180053711
1222.494831,0.0005913160998141,5000909.75552771,,,0.0001451315745684,24981075.9217184,0.0001266500771993,34970633.1272313,0.000121985405954,44961021.7428256,,,,64943338.0943446,24.988302230835
1227.5448386,0.0005910987816548,5000909.73779955,,,0.0001451046253584,24981077.0394521,0.0001268040417801,34970634.6642227,0.0001220672683648,44961023.2727541,,,,64943343.3762221,24.9981689453125
1232.6048232,0.00059116717703,5000909.24450857,,,0.0001451226900461,24981076.4673622,0.0001267998399863,34970633.4942617,0.0001218391189424,44961027.2605576,,,,64943345.6424762,25.0110855102539
1237.6448274,0.0005910970385374,5000909.85840615,,,0.0001451429184156,24981076.9653654,0.0001267873575078,34970634.6949022,0.0001217841577433,44961028.0821982,,,,64943314.3490948,24.9975833892822
1242.6948171,0.0005910970966086,5000909.57143366,,,0.0001450644832767,24981077.6245462,0.0001268035377209,34970635.001545,0.0001218073155124,44961028.422161,,,,64943323.8967767,24.998046875
1247.7349062,0.0005911569631242,5000910.02878852,,,0.0001450253392032,24981077.6848472,0.0001266817417453,34970636.6839516,0.0001216709426939,44961027.4616295,,,,64943321.3468416,24.9962329864502
1252.7948104,0.0005911246220363,5000910.29821627,,,0.0001450991711512,24981078.0368111,0.0001267777734791,34970635.4153676,0.0001215098582468,44961028.4315516,,,,64943343.5426668,25.007740020752
1257.8448079,0.000591126934239,5000909.93226154,,,0.0001450674854719,24981078.6140518,0.0001264675252503,34970638.105818,0.0001215738797521,44961026.3719578,,,,64943332.4869769,25.0036239624023
1262.8948039,0.0005913400642337,5000909.81548133,,,0.0001450899378611,24981079.0759757,0.0001268112750525,34970639.665237,0.000121707041361,44961027.9064675,,,,64943335.7775797,24.9976806640625
1267.9448004,0.000591467671541,5000909.7430921,,,0.0001450798311655,24981079.1296871,0.000126583808801,34970639.6895721,0.0001216271211683,44961032.4777742,,,,64943335.9133146,25.000940322876
1272.9947969,0.0005913266289122,5000910.08097171,,,0.000145055358065,24981079.0281557,0.0001266203508651,34970637.254665,0.000121572012424,44961032.676713,,,,64943319.6222807,24.9935436248779
1278.0447953,0.0005912687185992,5000909.65456047,,,0.0001450577811158,24981078.8327899,0.0001264985993704,34970637.4035421,0.0001219100724085,44961030.6404596,,,,64943325.626607,25.0136280059814
